Namr,Address1,Address2,Address3,Authority,Postcode,UPRN
Harleston Library,Swan Lane/Paddock Road,Harleston,Norfolk,Norfolk,IP20 9AW,7080017
Diss Library,Church Street,Diss,Norfolk,Norfolk,IP22 3DD,7033023
Thetford Library,2 Raymond Street,Thetford,Norfolk,Norfolk,IP24 2EA,3099036
Watton Library,George Trollope Road,Watton,Norfolk,Norfolk,IP25 6AS,3104022
Plumstead Road Library,Plumstead Road,Norwich,Norfolk,Norfolk,NR1 4JS,4104016
Reepham Library,"Bircham Institute, Market Place",Reepham,Norfolk,Norfolk,NR10 4JJ,5047015
Aylsham Library,7 Hungate Street,Aylsham,Norfolk,Norfolk,NR11 6AA,5004034
Mundesley Library,16/18 Cromer Road,Mundesley,Norfolk,Norfolk,NR11 8BE,1071012
Wroxham Library,Norwich Road,Wroxham,Norfolk,Norfolk,NR12 8RX,5065014
Stalham Library,High Street,Stalham,Norfolk,Norfolk,NR12 9AN,1093016
Acle Library,Bridewell Lane,Acle,Norfolk,Norfolk,NR13 3RA,5001015
Blofield Library,North Street,Blofield,Norfolk,Norfolk,NR13 4RQ,5009012
Brundall Library,The Street,Brundall,Norfolk,Norfolk,NR13 5LH,5013012
Loddon Library,31 Church Plain,Loddon,Norfolk,Norfolk,NR14 6EX,7066027
Poringland Library,Overtons Way,Poringland,Norfolk,Norfolk,NR14 7WB,7076015
Long Stratton Library,The Street,Long Stratton,Norfolk,Norfolk,NR15 2XJ,7067016
Attleborough Library,Connaught Road,Attleborough,Norfolk,Norfolk,NR17 2BW,3002017
Wymondham Library,Back Lane,Wymondham,Norfolk,Norfolk,NR18 0QB,7117042
Dereham Library,59 High Street,Dereham,Norfolk,Norfolk,NR19 1DZ,3025032
Norfolk & Norwich Millennium Library,"The Forum, Millennium Plain",Norwich,Norfolk,Norfolk,NR2 1AW,4109020
Fakenham Library,Oak Street,Fakenham,Norfolk,Norfolk,NR21 9DY,1029015
Wells Library,35 Station Road,Wells-next-the-Sea,Norfolk,Norfolk,NR23 1EA,1113016
Holt Library,"Wansbeck House, 9 Church Street",Holt,Norfolk,Norfolk,NR25 6BB,1049022
Sheringham Library,New Road,Sheringham,Norfolk,Norfolk,NR26 8EB,1087016
Cromer Library,Prince of Wales Road,Cromer,Norfolk,Norfolk,NR27 9HS,1022020
North Walsham Library,New Road,North Walsham,Norfolk,Norfolk,NR28 9DE,1074029
Martham Library,Black Street,Martham,Norfolk,Norfolk,NR29 4PR,6012019
Mile Cross Library,Aylsham Road,Norwich,Norfolk,Norfolk,NR3 2RJ,4110017
Great Yarmouth Library,Tolhouse Street,Great Yarmouth,Norfolk,Norfolk,NR30 2SH,6009047
Caister Library,Beach Road,Caister-on-Sea,Norfolk,Norfolk,NR30 5EX,6005014
Gorleston Library,Lowestoft Road,Great Yarmouth,Norfolk,Norfolk,NR31 6SG,6009067
Tuckswood Library,Robin Hood Road,Norwich,Norfolk,Norfolk,NR4 6BX,4115014
Earlham Library,Colman Road,Norwich,Norfolk,Norfolk,NR4 7HG,4116015
Costessey Library,Breckland Road,Costessey,Norfolk,Norfolk,NR5 0RW,7028016
West Earlham Library,17-18 Earlham West Centre,Norwich,Norfolk,Norfolk,NR5 8AD,4101029
Hellesdon Library,Middleton's Lane,Norwich,Norfolk,Norfolk,NR6 5SR,5032013
St Williams Way Library,"St William's Way, 11 Williams Loke",Norwich,Norfolk,Norfolk,NR7 0AJ,5059023
Sprowston Library,Recreation Ground Road,Sprowston,Norfolk,Norfolk,NR7 8EW,5053024
Taverham Library,Sandy Lane,Norwich,Norfolk,Norfolk,NR8 6JR,5057014
Hethersett Library,Queens Road,Hethersett,Norfolk,Norfolk,NR9 3DB,7054014
Hingham Library,The Fairland,Hingham,Norfolk,Norfolk,NR9 4HW,7055013
Gaywood Library,River Lane ,King's Lynn,Norfolk,Norfolk,PE30 4HD,
Kings Lynn Library,London Road,King's Lynn,Norfolk,Norfolk,PE30 5EZ,2045049
Dersingham Library,Chapel Road ,Dersingham,Norfolk,Norfolk,PE31 6PN,2020020
Hunstanton Library,"12, 14 Valentine Road",Hunstanton,Norfolk,Norfolk,PE36 5EF,20430150
Swaffham Library,The Pightle,Swaffham,Norfolk,Norfolk,PE37 7DF,3097023
Downham Market Library,"The Priory Centre, Priory Road",Downham Market,Norfolk,Norfolk,PE38 9JS,2022034
Penistone,High Street,Sheffield,South Yorkshire,Barnsley,S36 6BR,100052096222
Thurnscoe,2 Shepherd Lane,Rotherham,South Yorkshire,Barnsley,S63 0JS,100052104371
Goldthorpe,Barnsley Road,Rotherham,South Yorkshire,Barnsley,S63 9NE,10032777091
Worsbrough,"Elm House Estate, Queensway",Barnsley,South Yorkshire,Barnsley,S70 5EN,100052112109
Roundhouse,"Roundhouse Lifelong Learning Centre, Laithe Crescent",Barnsley,South Yorkshire,Barnsley,S71 3AE,2007005466
Royston,"Royston Lifelong Learning Centre, Station Road",Barnsley,South Yorkshire,Barnsley,S71 4EP,2007005464
Priory,"Priory Campus, Pontefract Road",Barnsley,South Yorkshire,Barnsley,S71 5PN,100052114097
Grimethorpe,"The Acorn Centre, High Street",Barnsley,South Yorkshire,Barnsley,S72 7BB,100052202038
Cudworth,"Cudworth Centre of Excellence, Roberts Street",Barnsley,South Yorkshire,Barnsley,S72 8UQ,2007005463
Wombwell,Station Road,Barnsley,South Yorkshire,Barnsley,S73 0BA,100052114992
Darfield,Church Street,Barnsley,South Yorkshire,Barnsley,S73 9LG,100052201818
Hoyland,High Croft,Barnsley,South Yorkshire,Barnsley,S74 9AF,100052116064
Dodworth,High Street,Barnsley,South Yorkshire,Barnsley,S75 3RF,100052116975
Mapplewell,"Mapplewell & Staincross Village Hall, Darton Lane",Barnsley,South Yorkshire,Barnsley,S75 6AL,2007005667
Small Heath Library,Muntz Street,Birmingham,West Midlands,Birmingham,B10 9RX,10024452561
Sparkhill Library,641 Stratford Road,Birmingham,West Midlands,Birmingham,B11 4EA,100071421692
Balsall Heath Library,Moseley Road ,Birmingham,West Midlands,Birmingham,B12 9BX,100071423365
Yardley Wood Library,Highfield Road,Birmingham,West Midlands,Birmingham,B14 4DU,10071426395
Druids Heath Library,Idmiston Croft ,Birmingham,West Midlands,Birmingham,B14 5NJ,100071414992
Kings Heath Library,High Street,Birmingham,West Midlands,Birmingham,B14 7SW,100071428560
Harborne Library,High Street ,Birmingham,West Midlands,Birmingham,B17 9QG,100071388532
Spring Hill Library,Spring Hill,Birmingham,West Midlands,Birmingham,B18 7BH,10071435349
Handsworth Library,Soho Road ,Birmingham,West Midlands,Birmingham,B21 9DP,100071440160
Erdington Library,Orphanage Road ,Birmingham,West Midlands,Birmingham,B24 9HP,100071440160
South Yardley Library,Yardley Road,Birmingham,West Midlands,Birmingham,B25 8LT,100071445651
Sheldon Library,Brays Road ,Birmingham,West Midlands,Birmingham,B26 2RJ,100071446125
Acocks Green Library,Shirley Road,Birmingham,West Midlands,Birmingham,B27 7XH,100071448027
Hall Green Library,1221 Stratford Road ,Birmingham,West Midlands,Birmingham,B28 9AD,100071448554
Weoley Castle Library,76 Beckbury Road,Birmingham,West Midlands,Birmingham,B29 5HR,100071382095
Stirchley Library,Bournville Lane,Birmingham,West Midlands,Birmingham,B30 2JT,200002864083
Kings Norton Library,Pershore Road South ,Birmingham,West Midlands,Birmingham,B30 3EU,100071453030
Northfield Library,77 Church Road,Birmingham,West Midlands,Birmingham,B31 2LB,100071453854
Quinton Library,Ridgacre Road,Birmingham,West Midlands,Birmingham,B32 2TW,100071392769
Bartley Green Library,Adams Hill ,Birmingham,West Midlands,Birmingham,B32 3QG,100071455452
Glebe Farm Library,Glebe Farm Road ,Birmingham,West Midlands,Birmingham,B33 9NA,100071413103
Shard End Library,"The Shard, All Saints Square",Birmingham,West Midlands,Birmingham,B34 7AG,10090432420
Castle Vale Library,10 High Street,Birmingham,West Midlands,Birmingham,B35 7PR,10090243132
Tower Hill Library,Tower Hill,Birmingham,West Midlands,Birmingham,B42 1LG,100071463107
Perry Common Library,College Road ,Birmingham,West Midlands,Birmingham,B44 0HH,100071465054
Kingstanding Library,Kingstanding Road ,Birmingham,West Midlands,Birmingham,B44 9ST,100071389782
Frankley Library,New Street ,Birmingham,West Midlands,Birmingham,B45 0EU,10024338057
Birchfield Library,Trinity Road,Birmingham,West Midlands,Birmingham,B6 6AH,100071395616
Aston Library,99 Whitehead Road,Birmingham,West Midlands,Birmingham,B6 6EJ,
Bloomsbury Library,"The POD Oliver Street, Nechells Parkway ",Birmingham,West Midlands,Birmingham,B7 4NX,
Sutton Coldfield Library,Lower Parade,Birmingham,West Midlands,Birmingham,B72 1XX,10024338062
Boldmere Library,119 Boldmere Road ,Birmingham,West Midlands,Birmingham,B73 5TU,100071397804
Mere Green Library,Mere Green Road ,Birmingham,West Midlands,Birmingham,B75 5BT,100071484365
Walmley Library,Walmley Road,Birmingham,West Midlands,Birmingham,B76 1NP,100071484807
Ward End Library,Washwood Heath Road,Birmingham,West Midlands,Birmingham,B8 2HF,10071486811
Blackpool Central,Queen Street,Blackpool,Lancashire,Blackpool,FY1 1PX,10000866669
Revoe,Revoe Street,Blackpool,Lancashire,Blackpool,FY1 5HN,10000868895
Layton,Talbot Road,Blackpool,Lancashire,Blackpool,FY3 7BD,100012611755
Library @ the Grange,Bathurst Avenue,Blackpool,Lancashire,Blackpool,FY3 7RW,10090938425
Palatine,St Annes Road,Blackpool,Lancashire,Blackpool,FY4 2AP,10008479602
Mereside,4b Crummock Place,Blackpool,Lancashire,Blackpool,FY4 4TP,100012614023
Anchorsholme,Luton Road,Blackpool,Lancashire,Blackpool,FY5 3RS,10090937670
Blackrod Library,Church Street,Bolton,Greater Manchester,Bolton,BL6 5EQ,100012561842
Bolton Central Library,Le Mans Crescent,Bolton,Greater Manchester,Bolton,BL1 1SE,10070920617
Breightmet Library,"Breightmet Health Centre, Breightmet Fold Lane",Bolton,Greater Manchester,Bolton,BL2 6NT,100012557228
Bromley Cross Library,The Crescent,Bolton,Greater Manchester,Bolton,BL7 9JU,100012562822
Farnworth Library,Market Street,Bolton,Greater Manchester,Bolton,BL4 7PG,100012559910
Harwood Library,Gate Fold,Bolton,Greater Manchester,Bolton,BL2 3HN,200002541946
High Street Library,High Street,Bolton,Greater Manchester,Bolton,BL3 6SZ,200002546452
Horwich Library,Jones Street,Bolton,Greater Manchester,Bolton,BL6 7AJ,100012562329
Little Lever Library,Coronation Square,Bolton,Greater Manchester,Bolton,BL3 1LP,100012557521
Westhoughton Library,Library Street,Bolton,Greater Manchester,Bolton,BL5 3AT,100012561164
Sandhurst,The Broadway,Sandhurst,Berkshire,Bracknell Forest,GU47 9BL,
Bracknell Central,Town Square,Bracknell,Berkshire,Bracknell Forest,RG12 1BH,
Birch Hill,Leppington,Bracknell,Berkshire,Bracknell Forest,RG12 7WW,
Great Hollands,The Square,Bracknell,Berkshire,Bracknell Forest,RG12 8UX,
Harmans Water,The Square,Bracknell,Berkshire,Bracknell Forest,RG12 9HY,
Whitegrove,5 County Lane,Bracknell,Berkshire,Bracknell Forest,RG42 3JP,
Binfield,Benetfeld Road,Binfield,Berkshire,Bracknell Forest,RG42 4JZ,
Crowthorne,162 High Street,Crowthorne,Berkshire,Bracknell Forest,RG45 7AT,
Ascot Heath,Fernbank Road,North Ascot,Berkshire,Bracknell Forest,SL5 8LA,
City Library,Centenary Square,Bradford,West Yorkshire,Bradford,BD1 1SD,
Idle Library,"Wright Watson Enterprise Centre, Thorpe Garth",Bradford,West Yorkshire,Bradford,BD10 9LD,
Wyke Library,"Appleton Academy, Woodside Road",Bradford,West Yorkshire,Bradford,BD12 8AL,
Queensbury Library,"The Bank, 36 High Street ",Bradford,West Yorkshire,Bradford,BD13 2PA,
Thornton Library,Market Street,Bradford,West Yorkshire,Bradford,BD13 3HW,
Denholme Library,Mechanics Institute,Bradford,West Yorkshire,Bradford,BD13 4BL,
Clayton Library,"Old School House, Clayton Lane",Bradford,West Yorkshire,Bradford,BD14 6AY,
Wilsden Library,Village Hall,Bradford,West Yorkshire,Bradford,BD15 0HT,
Allerton Library,"Library @ Cafe West, Wanstead Crescent",Bradford ,West Yorkshire,Bradford,BD15 7PA,
Bingley Library,5 Rise Shopping Centre,Bingley,West Yorkshire,Bradford,BD16 1AW,
Baildon Library,Hallcliffe,Shipley,West Yorkshire,Bradford,BD17 6ND,
Wrose Book Exchange,75 Wrose Road,Shipley,West Yorkshire,Bradford,BD18 1HX,
Shipley Library,2 Wellcroft,Shipley,West Yorkshire,Bradford,BD18 3QH,
Eccleshill Library,Bolton Road,Bradford,West Yorkshire,Bradford,BD2 4SR,
Silsden Library,"Silsden Town Hall, Kirkgate",Keighley,West Yorkshire,Bradford,BD20 0AJ,
Keighley Library,North Street,Keighley,West Yorkshire,Bradford,BD21 3SX,
St. Augustine's Library,"St. Augustine's Centre, Otley Road",Bradford ,West Yorkshire,Bradford,BD3 0DN,
Thornbury Library,"The Thornbury Centre, Leeds Old Road",Bradford ,West Yorkshire,Bradford,BD3 8JX,
Laisterdyke Library,Manse Street,Bradford,West Yorkshire,Bradford,BD3 8RP,
Holme Wood Library,Broadstone Way,Bradford,West Yorkshire,Bradford,BD4 9DY,
Wibsey Library,North Road ,Bradford,West Yorkshire,Bradford,BD6 1TR,
Great Horton Library,69 Beldon Road,Bradford,West Yorkshire,Bradford,BD7 3PE,
Manningham Library,Carlisle Road,Bradford ,West Yorkshire,Bradford,BD8 8BB,
Heaton Hub Library,Haworth Road,Bradford,West Yorkshire,Bradford,BD9 6LL,
Addingham Library,Main Street ,Ilkley,West Yorkshire,Bradford,LS29 0NS,
Menston Library,Main Street ,Ilkley,West Yorkshire,Bradford,LS29 6LG,
Burley Library,Grange Road,Ilkley,West Yorkshire,Bradford,LS29 7HD,
Ilkley Library,Station Road,Ilkley,West Yorkshire,Bradford,LS29 8HA,
Bristol Central,College Green,,Bristol,"Bristol, City of",BS1 5TL,000000199356
Southmead,Greystoke Avenue,Southmead,Bristol,"Bristol, City of",BS10 6AS,000000201220
Henbury,Crow Lane,Henbury,Bristol,"Bristol, City of",BS10 7DR,000000003424
Avonmouth,Avonmouth Road,Avonmouth,Bristol,"Bristol, City of",BS11 9EN,000000010908
Shirehampton,Station Road,Shirehampton,Bristol,"Bristol, City of",BS11 9TU,000000258098
Hartcliffe,"Symes District Centre, Peterson Square",Hartcliffe,Bristol,"Bristol, City of",BS13 0BE,000000326327
Bishopsworth,Bishopsworth Road,Bishopsworth,Bristol,"Bristol, City of",BS13 7LN,000000253118
Whitchurch,"Whitchurch District Centre, Oatlands Avenue",Whitchurch,Bristol,"Bristol, City of",BS14 0SX,000000276047
Stockwood,Stockwood Road,Stockwood,Bristol,"Bristol, City of",BS14 8PL,000000159907
Fishponds,"Robinson House, Hockeys Lane",Fishponds,Bristol,"Bristol, City of",BS16 3HL,000000258418
Hillfields,Summerleaze,Hillfields,Bristol,"Bristol, City of",BS16 4HL,000000055729
St. Pauls,94 Grosvenor Road ,St. Pauls,Bristol,"Bristol, City of",BS2 8XJ,000000259917
Bedminster,St Peter's Court,Bedminster,Bristol,"Bristol, City of",BS3 4AQ,000000300690
Marksbury Road,Marksbury Road,Bedminster,Bristol,"Bristol, City of",BS3 5LG,000000136944
Filwood,Filwood Broadway,Filwood,Bristol,"Bristol, City of",BS4 1JN,000000147115
Knowle,"1st Floor, Broadwalk Shopping Centre ",Knowle,Bristol,"Bristol, City of",BS4 2QU,000000303165
Wick Road,Wick Road,Bristlington,Bristol,"Bristol, City of",BS4 4HE,000000126038
St. George,Church Road ,St. George,Bristol,"Bristol, City of",BS5 8AL,000000091711
Horfield,Filton Avenue,Horfield,Bristol,"Bristol, City of",BS7 0BD,000000018539
Redland,Whiteladies Road,Redland,Bristol,"Bristol, City of",BS8 2PY,000000076586
Clifton,Princess Victoria Street,Clifton,Bristol,"Bristol, City of",BS8 4BX,000000103836
Sea Mills,Sylvan Way,Sea Mills,Bristol,"Bristol, City of",BS9 2NA,000000023541
Westbury,Falcondale Road,Westbury on Trym,Bristol,"Bristol, City of",BS9 3JZ,000000021923
Henleaze,Northumbria Drive,Henleaze,Bristol,"Bristol, City of",BS9 4HP,000000260189
Flackwell Heath Community Library,"Shelf Village Hall, Halifax Road",Flackwell Heath,Buckinghamshire,Buckinghamshire,HP10 9AA,7138
High Wycombe Library,5 Eden Centre,High Wycombe,Buckinghamshire,Buckinghamshire,HP11 2DH,1922
Castlefield Community Library,"Castlefield Community Centre, Rutland Avenue",High Wycombe,Buckinghamshire,Buckinghamshire,HP12 3LL,2179
Micklefield Community Library,Micklefield Road ,High Wycombe,Buckinghamshire,Buckinghamshire,HP13 7HU,3098
Stokenchurch Community Library,Wycombe Road,High Wycombe,Buckinghamshire,Buckinghamshire,HP14 3RG,1311
Hazlemere Library,312 Amersham Road,Hazlemere,Buckinghamshire,Buckinghamshire,HP15 7PY,2158
Great Missenden Community Library,High Street ,Great Missenden,Buckinghamshire,Buckinghamshire,HP16 0AL,1574
Haddenham Community Library,Banks Road,Haddenham,Buckinghamshire,Buckinghamshire,HP17 8EE,3499
Long Crendon Community Library,High Street,Long Crendon,Buckinghamshire,Buckinghamshire,HP18 9AF,3092
Aylesbury Library,Walton Street,Aylesbury,Buckinghamshire,Buckinghamshire,HP20 1UU,1554
Wendover Community Library,High Street,Wendover,Buckinghamshire,Buckinghamshire,HP22 6DU,3458
Princes Risborough Library,Bell Street,Princes Risborough,Buckinghamshire,Buckinghamshire,HP27 0AA,3168
Chesham Library,Elgiva Lane,Chesham,Buckinghamshire,Buckinghamshire,HP5 2JD,3030
Amersham Library,"Chilterns Lifestye Centre, Chiltern Avenue",Amersham,Buckinghamshire,Buckinghamshire,HP6 5AH,7510
Beaconsfield Library,Reynolds Road,Beaconsfield,Buckinghamshire,Buckinghamshire,HP9 2NJ,3302
Wing Community Library,"Wing Hall, Leighton Road",Wing,Buckinghamshire,Buckinghamshire,LU7 0NN,1513
Beacon Villages Community Library,"Old Town Hall, High Street",Ivinghoe,Buckinghamshire,Buckinghamshire,LU7 9EP,2176
Buckingham Library,Verney Close,Buckingham,Buckinghamshire,Buckinghamshire,MK18 1JP,2638
Winslow Community Library,Park Road,Buckingham,Buckinghamshire,Buckinghamshire,MK18 3DL,3168
Iver Heath Community Library,St Margaret's Close,Iver Heath,Buckinghamshire,Buckinghamshire,SL0 0DA,4385
Burnham Community Library,Windsor Lane,Burnham,Buckinghamshire,Buckinghamshire,SL1 7HR,1914
Farnham Common Community Library,Victoria Road,Farnham Common,Buckinghamshire,Buckinghamshire,SL2 3NL,3406
Marlow Library,Institute Road,Marlow,Buckinghamshire,Buckinghamshire,SL7 1BL,4350
Bourne End Community Library,Wakeman Road,Bourne End,Buckinghamshire,Buckinghamshire,SL8 5SX,1940
Gerrards Cross Community Library,38 Station Road,Gerrards Cross,Buckinghamshire,Buckinghamshire,SL9 8EL,3160
Chalfont St Peter Community Library,High Street,Chalfont St. Peter,Buckinghamshire,Buckinghamshire,SL9 9QA,3029
Ramsbottom Library & Adult Learning Centre,Carr Street,Ramsbottom,Greater Manchester,Bury,BL0 9AE,100012551464
Bury Library,Manchester Road,Bury,Greater Manchester,Bury,BL9 0DG,4210013173
Bury Archives,Moss Street,Bury,Greater Manchester,Bury,BL9 0DR,4210013173
Prestwich Library & Adult Learning Centre,Longfield Centre,Prestwich,Greater Manchester,Bury,M25 1AY,10003111776
Radcliffe Library,Stand Lane,Radcliffe,Greater Manchester,Bury,M26 1NW,4210014416
Brighouse,Halifax Road,Brighouse,West Yorkshire,Calderdale,HD6 2AF,
Rastrick,Crowtrees Lane,Brighouse,West Yorkshire,Calderdale,HD6 3NE,
King Cross,151 Haugh Shaw Road,Halifax,West Yorkshire,Calderdale,HX1 3BG,
Beechwood Road,Beechwood Road,Halifax,West Yorkshire,Calderdale,HX2 9BU,
Akroyd,"Bankfield, Boothtown Road",Halifax,West Yorkshire,Calderdale,HX3 6HG,
Northowram,Lydgate,Halifax,West Yorkshire,Calderdale,HX3 7EJ,
Elland,Coronation Street,Elland,West Yorkshire,Calderdale,HX5 0DF,
Sowerby Bridge,Hollins Mill Lane,Sowerby Bridge,West Yorkshire,Calderdale,HX6 2QG,
Hebden Bridge,Cheetham Street,Hebden Bridge,West Yorkshire,Calderdale,HX7 8EP,
Todmorden,"Strand, Rochdale Road",Todmorden,West Yorkshire,Calderdale,OL14 7LB,
Crewe Library,Crewe Lifestyle Centre,Crewe,Cheshire,Cheshire East,CW1 2BB,10014462812
Middlewich Library,Lewin Street,Middlewich,Cheshire,Cheshire East,CW10 9AS,100012596961
Sandbach Library,The Commons,Sandbach,Cheshire,Cheshire East,CW11 1FJ,100012597441
Congleton Library,Market Square,Congleton,Cheshire,Cheshire East,CW12 1ET,100012598482
Holmes Chapel Library,London Road,Holmes Chapel, Cheshire,Cheshire East,CW4 7AP,100012600988
Nantwich Library,Beam Street,Nantwich,Cheshire,Cheshire East,CW5 5LY,100012601777
Macclesfield Library,Jordangate,Macclesfield,Cheshire,Cheshire East,SK10 1EE,100012770673
Prestbury Library,Reading Room,Prestbury,Cheshire,Cheshire East,SK10 4AL,100012771218
Bollington Library,Palmerston Street,Bollington,Cheshire,Cheshire East,SK10 5JX,100012772070
Poynton Library,Park Lane,Poynton,Cheshire,Cheshire East,SK12 1RB,100012831581
Disley Library,off Buxton Old Road,Stockport,Cheshire,Cheshire East,SK12 2BB,100012775118
Wilmslow Library,South Drive,Wilmslow,Cheshire,Cheshire East,SK9 1NW,100012789927
Handforth Library,"The Green, Wilmslow Road",Handforth,Cheshire,Cheshire East,SK9 3ES,100012831784
Alderley Edge Library,44a London Road,Alderley Edge,Cheshire,Cheshire East,SK9 7GP,10008878321
Alsager Library,Sandbach Road North,Alsager,Cheshire,Cheshire East,ST7 2QH,100012791282
Knutsford Library,Toft Road,Knutsford,Cheshire,Cheshire East,WA16 0PG,200002859652
Chipping Barnet,3 Stapylton Road,Barnet,Greater London,Barnet,EN5 4QT,200107378
Burnt Oak,Watling Avenue,Edgware,Greater London,Barnet,HA8 0UB,200155264
Edgware,Hale Lane,Edgware,Greater London,Barnet,HA8 8NN,200220766
South Friern,Colney Hatch Lane,London,Greater London,Barnet,N10 1HD,200147125
Osidge,Brunswick Park Road,London,Greater London,Barnet,N11 1EY,200140830
North Finchley,Ravensdale Avenue,North Finchley,Greater London,Barnet,N12 9HP,200097082
East Finchley,226 High Road,London,Greater London,Barnet,N2 9BB,200061457
Golders Green,156 Golders Green Road,London,Greater London,Barnet,NW11 8HE,200049056
Childs Hill,320 Cricklewood Lane,London,Greater London,Barnet,NW2 2QE,200219960
Hendon,The Burroughs,London,Greater London,Barnet,NW4 4BQ,200222812
Mill Hill,Hartley Avenue,London,Greater London,Barnet,NW7 2HX,200057669
Colindale,"Colindale Library c/o Barnet & Southgate College,  7 Bristol Avenue",Colindale,Greater London,Barnet,NW9 5XL,10093995729
Love Weston Library,Church Street,Weston,Somerset,Bath and North East Somerset,BA1 4BU,100120006076
Bath Central,Podium Centre,Bath,Somerset,Bath and North East Somerset,BA1 5AN,10001145438
Moorland Road Community Library,Moorland Road,Bath,Somerset,Bath and North East Somerset,BA2 3PL,100121174752
Midsomer Norton Library & Information Centre,"The Hollies, High Street",Midsomer Norton,Somerset,Bath and North East Somerset,BA3 2DP,10001146782
Radstock Community Hub,The Street,Radstock,Somerset,Bath and North East Somerset,BA3 3PR,10001132133
Keynsham Library & Information Centre,Market Walk,Keynsham,Somerset,Bath and North East Somerset,BS31 1FS,10091546109
Saltford Community Library & Post Office,478a Bath Road,Saltford,Somerset,Bath and North East Somerset,BS31 3DJ,100121179356
Paulton Library @ The Hub,"Unit 1 & 2 Hillcourt, High Street",Paulton,Somerset,Bath and North East Somerset,BS39 7QG,100121179908
Blackburn,Town Hall Street,Blackburn,Lancashire,Blackburn with Darwen,BB2 1AG,
Roman Road,Fishmoor Drive,Blackburn,Lancashire,Blackburn with Darwen,BB2 3UY,
Mill Hill,"Mill Hill Community Centre, New Chapel Street",Blackburn,Lancashire,Blackburn with Darwen,BB2 4DT,
Cherry Tree Library,Cherry Tree Lane,Blackburn,Lancashire,Blackburn with Darwen,BB2 5NX,
Darwen,Knott Street,Darwen,Lancashire,Blackburn with Darwen,BB3 3BU,
Ensbury Park,31 Columbia Road,Bournemouth,Dorset,"Bournemouth, Christchurch and Poole",BH10 4DZ,100041087055
West Howe Library,Cunningham Crescent,Bournemouth,Dorset,"Bournemouth, Christchurch and Poole",BH11 8DU,10013444269
Kinson Hub,"The Kinson Hub, Wimborne Road",Bournemouth,Dorset,"Bournemouth, Christchurch and Poole",BH11 9AW,10023870600
Rossmore Library,Herbert Avenue,Poole,Dorset,"Bournemouth, Christchurch and Poole",BH12 4HR,10001093999
Canford Cliffs Library,Weston Road,Poole,Dorset,"Bournemouth, Christchurch and Poole",BH13 7BN,100041091145
Parkstone Library,Britannia Road,Poole,Dorset,"Bournemouth, Christchurch and Poole",BH14 8AZ,100041055355
Branksome Library,212 Ashley Road ,Poole  ,Dorset,"Bournemouth, Christchurch and Poole",BH14 9BY,10001092636
Poole Library,Dolphin Centre ,Poole,Dorset,"Bournemouth, Christchurch and Poole",BH15 1QE,10001091279
Oakdale Library,Wimborne Road,Poole,Dorset,"Bournemouth, Christchurch and Poole",BH15 3EF,100041057186
Hamworthy Library,Blandford Road,Poole,Dorset,"Bournemouth, Christchurch and Poole",BH15 4BG,10090374943
Creekmoor Library,34 Northmead Drive,Poole,Dorset,"Bournemouth, Christchurch and Poole",BH17 7XZ,10001092208
Canford Heath Library,Mitchell Road,Poole,Dorset,"Bournemouth, Christchurch and Poole",BH17 8UE,100041056196
Broadstone Library,10 Story Lane,Poole,Dorset,"Bournemouth, Christchurch and Poole",BH18 8EQ,100041095775
Christchurch,Druitt Buildings High Street,Christchurch,Dorset,"Bournemouth, Christchurch and Poole",BH23 1AW,100041102406
Highcliffe,Gordon Road,Highcliffe,Dorset,"Bournemouth, Christchurch and Poole",BH23 5HN,100041046870
Westbourne Library,Alum Chine Road,Bournemouth,Dorset,"Bournemouth, Christchurch and Poole",BH4 8DX,100041106190
Boscombe Library,32 Hawkwood Road,Bournemouth ,Dorset,"Bournemouth, Christchurch and Poole",BH5 1BY,10022904945
Pokesdown & Southbourne Library,Seabourne Road,Bournemouth,Dorset,"Bournemouth, Christchurch and Poole",BH5 2HY,100041059911
Tuckton Library,Wick Lane ,Bournemouth,Dorset,"Bournemouth, Christchurch and Poole",BH6 4LF,100041109376
Springbourne Library,Holdenhurst Road,Bournemouth,Dorset,"Bournemouth, Christchurch and Poole",BH8 8BX,100041111764
Charminster Library,Strouden Avenue,Bournemouth,Dorset,"Bournemouth, Christchurch and Poole",BH8 9HT,100041112456
Castlepoint Library,Castle Lane West,Bournemouth,Dorset,"Bournemouth, Christchurch and Poole",BH8 9UP,10013450576
Winton Library,Wimborne Road,Bournemouth,Dorset,"Bournemouth, Christchurch and Poole",BH9 2EN,100041113745
Ealing Road,"Coronet Parade, Ealing Road",Wembley,Middlesex,Brent,HA0 4BA,
Willesden Green,95 High Road,London,Middlesex,Brent,NW10 2SF,
Harlesden,Craven Park Road,London,Middlesex,Brent,NW10 8SE,
Kilburn,42 Salusbury Road,London,Middlesex,Brent,NW6 6NN,
Kingsbury,522 - 524 Kingsbury Road,London,Middlesex,Brent,NW9 9HE,
Rock Road Library,69 Rock Road,Cambridge,Cambridgeshire,Cambridgeshire,CB1 7UG,
Cherry Hinton Library,High Street,Cambridge,Cambridgeshire,Cambridgeshire,CB1 9HZ,
Cambridge Central Library,7 Lion Yard,Cambridge,Cambridgeshire,Cambridgeshire,CB2 3QD,
Linton Library,"Cathodean Centre, Horseheath Road",Linton,Cambridgeshire,Cambridgeshire,CB21 4LU,
